Wall time,Step,Value
1599478385.952357,2121842,-980.0
1599478398.74564,2126860,-1410.0
1599478410.8714209,2131868,-2280.0
1599478418.638182,2135093,-8870.400390625
1599478424.590419,2137593,-940.0
1599478430.901886,2140121,-2310.5
1599478437.0946639,2142685,-2180.199951171875
1599478443.346067,2145190,-2660.199951171875
1599478455.4972951,2150216,-1420.0
1599478467.56418,2155238,-260.0
1599478479.9777112,2160287,-990.0
1599478497.996255,2167799,-990.0
1599478504.2131462,2170352,-1240.5999755859375
1599478510.866826,2172939,-1080.0999755859375
1599478516.712938,2175483,-450.0
1599478523.0231118,2178020,-670.0999755859375
1599478547.926,2188086,-139.99998474121094
1599478560.128605,2193086,-99.99998474121094
1599478566.403245,2195586,-99.99998474121094
1599478578.445728,2200588,-229.99998474121094
1599478596.547961,2208089,-29.999988555908203
1599478608.801141,2213090,-199.99998474121094
1599478614.9265091,2215591,-109.99998474121094
1599478620.834959,2218091,-149.99998474121094
1599478639.7509701,2225593,-19.999988555908203
1599478658.2557921,2233203,8.277595043182373e-06
1599478664.3677282,2235703,30.000009536743164
1599478676.81481,2240705,230.0
1599478689.099581,2245705,250.0
1599478701.5549529,2250707,210.0
1599478708.330893,2253366,-1340.0
1599478732.7605991,2263367,160.0
1599478744.788699,2268368,-330.0
1599478750.968313,2270868,-820.0
1599478757.128852,2273368,-1560.0
1599478763.480264,2275868,-950.0
1599478781.6124969,2283369,50.000003814697266
1599478794.072629,2288369,-160.0
1599478819.511578,2298522,-320.0
1599478833.8750951,2304257,-6330.2998046875
1599478841.04941,2306988,-2870.10009765625
1599478847.227558,2309489,-530.0
1599478853.597381,2311991,-69.99999237060547
1599478859.732218,2314492,60.00000762939453
1599478885.128292,2324493,-1780.0
1599478897.737615,2329795,-5180.10009765625
1599478904.629168,2332582,-3730.10009765625
1599478926.3575199,2341600,-10200.5
1599478932.560926,2344130,-1250.0
1599478939.956178,2347192,-6720.39990234375
1599478946.2725482,2349795,-1890.0
1599478952.508526,2352321,-1260.0
1599478967.260096,2358292,-3180.0
1599478973.443019,2360865,-1760.699951171875
1599478979.640864,2363418,-1260.4000244140625
1599478985.6236129,2365924,-710.4000244140625
1599478997.784296,2370931,190.0
1599479020.8250399,2380181,-530.0
1599479033.5188339,2385185,-1180.0
1599479039.685687,2387688,-670.0
1599479051.989732,2392689,-110.0
1599479058.3389492,2395189,-1310.0
1599479064.788387,2397690,-460.0
1599479077.136693,2402690,-610.0
1599479082.905791,2405201,-680.0
1599479095.306974,2410203,-140.0
1599479101.663809,2412703,-250.0
1599479144.142884,2430220,-9.999998092651367
1599479150.0812569,2432773,-1230.0
1599479155.714584,2435288,-290.0
1599479161.696466,2437791,-810.0
1599479167.404999,2440292,-450.0
1599479173.514626,2442792,-500.0
1599479179.802929,2445453,-2170.0
1599479191.618444,2450455,-80.0
1599479197.528842,2452957,-540.0
1599479203.6230989,2455458,-1210.0
1599479222.0238452,2462979,-230.0
1599479227.875535,2465482,180.0
1599479234.072921,2467984,220.0
1599479240.072886,2470485,230.0
1599479253.298978,2475490,180.0
1599479289.6660328,2490558,29.90000343322754
1599479296.227744,2493298,-2350.10009765625
1599479302.636872,2495799,200.0
1599479314.852711,2500844,-590.5999755859375
1599479339.6266408,2510915,-790.7000122070312
1599479359.0460181,2518834,-1170.0
1599479379.001492,2526336,220.0
1599479405.0647218,2536417,-870.0
1599479426.875366,2544126,-2250.39990234375
1599479434.009017,2546628,30.0
1599479441.240221,2549141,-310.3999938964844
1599479455.2639282,2554162,-620.0
1599479461.082058,2556664,-210.0
1599479467.2075882,2559171,-310.0
1599479479.526643,2564174,110.0
1599479485.766193,2566677,220.0
1599479491.715909,2569177,220.0
1599479498.067004,2571677,230.0
1599479503.982625,2574177,250.0
1599479516.093131,2579178,220.0
1599479522.503191,2581680,-80.0
1599479534.690868,2586680,250.0
1599479546.7568882,2591713,-60.0
1599479552.8558311,2594215,220.0
1599479564.787318,2599222,-430.0
1599479576.77751,2604227,-130.0
1599479582.989171,2606731,-260.0
1599479589.307102,2609336,-1500.0
1599479595.720106,2611852,-1480.199951171875
1599479614.498392,2619498,-320.0
1599479620.939508,2621998,-300.0
1599479627.260294,2624525,-330.0
1599479645.5663848,2632090,-240.09999084472656
1599479651.837458,2634601,130.0
1599479705.9028108,2654668,-150.0
1599479726.2328131,2662172,100.0
1599479732.255463,2664676,130.0
1599479745.015688,2669678,-9.999999046325684
1599479758.128449,2674679,80.00000762939453
