wall_time,step,value,match,infeasible_match,mismatch,notinstock,total_removed
1600603747.954436,304473,-6590.2001953125,2500,0,2,645,17
1600603754.7178009,306975,4.090368747711182e-06,2500,0,2,0,23
1600603763.3808472,310259,-8280.5,2500,0,1,783,19
1600603769.9214091,312763,40.000003814697266,2500,0,4,0,17
1600603776.677645,315496,-2260.0,2500,0,0,233,18
1600603783.703236,318122,-1210.0,2500,0,2,124,20
1600603793.028954,321687,-10840.2001953125,2500,0,3,1062,24
1600603799.704055,324273,-850.0,2500,0,1,85,24
1600603806.7351859,326914,-1330.0,2500,0,4,137,17
1600603813.426602,329506,-800.0,2500,0,2,90,13
1600603819.635731,332010,-90.0,2500,0,4,0,30
1600603826.155238,334512,50.00000762939453,2500,0,2,0,18
1600603832.608858,337016,110.00000762939453,2500,0,1,3,10
1600603839.4397628,339521,6.377696990966797e-06,2500,0,3,2,20
1600603846.123762,342064,-480.1000061035156,2499,1,6,37,20
1600603852.716903,344602,-510.1000061035156,2499,1,10,28,28
1600603859.199172,347202,-1040.0,2500,0,5,95,29
1600603865.793198,349709,-49.99999237060547,2500,0,1,6,23
1600603871.8389518,352218,-9.999991416931152,2500,0,9,0,17
1600603878.356705,354801,-810.0,2500,0,3,80,23
1600603884.814493,357336,-360.0,2500,0,2,33,26
1600603891.453423,359837,40.00000762939453,2500,0,1,0,20
1600603902.4890308,363846,-16011.0,2500,0,1,1508,17
1600603912.897844,367373,-10450.2001953125,2500,0,0,1027,23
1600603921.269691,370233,-3720.10009765625,2500,0,2,358,27
1600603928.428928,372747,-89.99999237060547,2500,0,5,9,20
1600603935.2094982,375337,-860.0,2500,0,9,81,21
1600603941.438832,377840,70.00000762939453,2500,0,3,0,15
1600603948.653301,380635,-3110.10009765625,2500,0,5,290,31
1600603955.353188,383141,20.00000762939453,2500,0,0,6,17
1600603961.611892,385643,70.00000762939453,2500,0,1,1,16
1600603968.917077,388438,-3060.10009765625,2500,0,2,293,26
1600603975.446003,390955,-230.0,2500,0,5,12,31
1600603981.7469592,393458,40.00000762939453,2500,0,3,0,18
1600603988.490148,395969,-109.99999237060547,2500,0,5,6,25
1600603995.875972,398736,-2680.10009765625,2500,0,2,265,16
1600604003.071126,401565,-3350.10009765625,2500,0,2,327,21
