wall_time,step,value
1604179368.719104,348004,-27115.69921875
1604179371.2976,349101,-11054.7001953125
1604179373.845769,350315,-12354.7001953125
1604179375.867527,351164,-7143.39990234375
1604179378.779716,352430,-11333.2001953125
1604179381.389803,353573,-9402.7998046875
1604179383.997914,354741,-8972.099609375
1604179386.623608,355903,-12455.5
1604179388.902192,356968,-10854.7998046875
1604179391.7355468,358233,-11533.5
1604179393.992812,359259,-8152.60009765625
1604179396.4902248,360381,-7891.5
1604179398.473185,361274,-6392.2998046875
1604179402.1718779,362893,-14493.099609375
1604179405.549073,364511,-15724.2001953125
1604179408.115138,365647,-10233.599609375
1604179411.7739189,367313,-15213.2001953125
1604179413.788464,368198,-7213.2001953125
1604179417.164284,369672,-12742.7998046875
1604179419.516418,370701,-8552.900390625
1604179421.846829,371736,-8663.099609375
1604179423.889327,372698,-7913.10009765625
1604179426.176119,373662,-6481.7001953125
1604179428.4298801,374688,-9343.7998046875
1604179430.3953311,375652,-7862.89990234375
1604179432.717309,376654,-7151.89990234375
1604179435.342943,377835,-9142.2998046875
1604179438.154497,379073,-11814.0
1604179440.970905,380396,-11202.7998046875
1604179443.9092228,381594,-10223.0
1604179446.846271,382940,-11212.5
1604179450.053392,384359,-11542.099609375
1604179452.062988,385266,-7683.39990234375
1604179454.647595,386395,-9292.7998046875
1604179456.970368,387451,-7201.5
1604179459.777936,388713,-11303.400390625
1604179462.0228758,389669,-6922.2001953125
1604179464.578332,390805,-11825.0
1604179467.155016,391957,-9182.400390625
1604179469.453474,393067,-8232.0
1604179471.775894,394079,-6901.7001953125
1604179474.6151838,395377,-12424.099609375
1604179477.427713,396629,-11183.400390625
1604179479.6817122,397679,-7912.2001953125
1604179482.542741,398855,-9912.900390625
1604179484.549796,399869,-7912.60009765625
1604179487.6865668,401166,-10832.599609375
1604179489.430667,402036,-4961.2001953125
1604179491.474317,402843,-5051.7998046875
1604179493.854267,403954,-8041.7998046875
1604179496.203894,404981,-7972.60009765625
1604179499.098368,406147,-8561.7001953125
1604179502.81098,407888,-15012.2998046875
1604179507.3849778,409907,-18503.19921875
1604179510.2109802,411171,-9962.099609375
1604179513.620149,412776,-12971.7001953125
1604179517.066279,414281,-14083.7998046875
1604179521.036216,416071,-16223.099609375
1604179525.272831,417980,-17603.19921875
1604179528.97018,419711,-16373.7998046875
1604179535.820817,422686,-30185.0
1604179539.8966668,424482,-15652.400390625
1604179542.254699,425518,-8643.0
1604179546.8758552,427633,-19903.599609375
1604179551.40003,429600,-18013.0
1604179555.925329,431665,-19333.400390625
1604179558.810771,432935,-9691.7998046875
1604179562.949635,434715,-16943.900390625
1604179567.298796,436655,-16692.0
1604179572.1526022,438863,-20203.0
1604179575.510505,440368,-14874.400390625
1604179579.307327,441995,-15013.5
1604179584.69405,444447,-23423.599609375
1604179591.250182,447446,-29454.0
1604179593.927258,448537,-7541.5
1604179596.799892,449842,-12624.2998046875
1604179602.179895,452254,-22933.400390625
1604179606.191714,454016,-15963.2001953125
1604179610.4755251,456063,-18162.5
1604179614.558966,457849,-14691.7001953125
1604179618.998059,459682,-15131.599609375
1604179621.405777,460752,-7251.39990234375
1604179624.642178,462194,-10841.2998046875
1604179630.9917922,464917,-25433.099609375
1604179634.6538398,466579,-16494.5
1604179637.7427819,467990,-12363.0
1604179640.3668249,469149,-7670.7998046875
1604179643.203553,470527,-9921.0
1604179647.178453,472215,-14662.5
1604179651.694078,474262,-20594.80078125
1604179654.853146,475657,-10591.400390625
1604179659.405169,477773,-17931.69921875
1604179664.4714072,480125,-20231.5
1604179673.003662,483860,-33300.8984375
1604179678.5169148,486323,-22522.69921875
1604179686.059408,489647,-30492.099609375
1604179690.3036218,491572,-16532.19921875
1604179694.325663,493425,-14480.900390625
1604179698.1858509,494980,-12651.900390625
1604179703.729725,497427,-22292.599609375
1604179706.059387,498517,-7751.7998046875
1604179710.0007071,500305,-14881.7998046875
1604179715.189437,502631,-20532.19921875
1604179717.787877,503680,-7842.2001953125
1604179721.182045,505315,-14212.599609375
1604179724.082426,506549,-9051.599609375
1604179725.803007,507274,-3551.199951171875
1604179728.9194088,508770,-13403.2001953125
1604179732.931186,510519,-14571.900390625
1604179736.38117,512081,-13913.099609375
1604179740.5701451,513894,-15392.099609375
1604179742.936048,514889,-7732.60009765625
1604179745.521645,516095,-10142.900390625
1604179748.942098,517561,-13133.400390625
1604179750.647121,518284,-2530.199951171875
1604179755.390434,520484,-21084.0
1604179758.516178,521909,-12903.2001953125
1604179760.82402,522962,-8142.39990234375
1604179765.539001,524935,-19644.599609375
1604179767.040571,525618,-3151.199951171875
1604179770.0164511,526870,-9842.099609375
1604179774.313993,528816,-19084.400390625
1604179778.901263,530902,-19693.5
1604179782.940084,532683,-16052.900390625
1604179786.08059,534085,-12963.599609375
1604179789.498637,535636,-13512.7998046875
1604179792.108751,536769,-9282.7001953125
1604179795.5900748,538262,-11861.7001953125
1604179797.60214,539239,-8443.599609375
1604179801.052267,540793,-13902.900390625
1604179804.291956,542181,-12853.7998046875
1604179806.661888,543141,-8303.5
1604179808.3903391,543951,-5842.39990234375
1604179810.6809442,544932,-7062.10009765625
1604179813.232384,546100,-9332.5
1604179814.919564,546888,-5372.2998046875
1604179817.170306,547895,-7502.2001953125
1604179818.9151318,548735,-5321.7998046875
1604179820.9245288,549616,-5701.7998046875
1604179824.33989,551114,-12422.2998046875
1604179827.245263,552386,-9481.599609375
1604179829.2728379,553239,-5261.60009765625
1604179832.404441,554676,-10981.400390625
1604179835.287189,556022,-10752.2001953125
1604179837.8839839,557134,-8732.5
1604179840.1790679,558172,-7101.60009765625
1604179842.2104619,558998,-5982.5
1604179843.6595058,559731,-4341.7998046875
1604179845.39925,560478,-3751.0
1604179848.8409998,562013,-13603.2001953125
1604179851.142231,563056,-7492.0
1604179854.701,564516,-12302.599609375
1604179856.1944032,565180,-2971.199951171875
1604179857.683458,565833,-2300.60009765625
1604179859.180232,566481,-1930.4000244140625
1604179860.6358762,567167,-2921.0
1604179862.6602728,567968,-5332.2001953125
1604179864.108139,568582,-2010.800048828125
1604179866.395346,569658,-7241.2998046875
1604179868.661886,570701,-8142.60009765625
1604179870.704299,571642,-6211.60009765625
1604179874.0651672,573159,-13292.900390625
1604179876.591798,574274,-9913.599609375
1604179878.296094,575017,-4692.10009765625
1604179880.334396,575899,-4510.60009765625
1604179882.0841222,576644,-3340.699951171875
1604179887.1019719,578975,-20652.19921875
1604179889.085564,579883,-6131.89990234375
1604179890.830792,580722,-4451.0
1604179893.6654,581956,-8771.2998046875
1604179896.5789282,583194,-9992.5
1604179898.547254,584138,-6682.10009765625
1604179900.233972,584842,-5213.10009765625
1604179902.2230442,585798,-7813.10009765625
1604179904.258037,586657,-5091.39990234375
1604179906.0258849,587401,-5222.60009765625
1604179907.800225,588279,-6732.7001953125
1604179910.1549828,589209,-6031.60009765625
1604179911.901272,589959,-3871.300048828125
1604179913.632619,590777,-4741.39990234375
1604179915.097501,591385,-2391.199951171875
1604179917.1341472,592288,-7173.0
1604179919.45764,593312,-8162.7001953125
1604179922.360538,594685,-10932.099609375
1604179924.121139,595402,-3281.0
1604179925.615602,596012,-2301.10009765625
1604179927.117131,596624,-2891.699951171875
1604179928.615965,597266,-2560.89990234375
1604179930.052533,597936,-2410.699951171875
1604179932.642672,599165,-8631.2001953125
1604179934.6673439,599950,-4351.39990234375
1604179936.664494,600842,-6452.2998046875
1604179938.35584,601695,-4400.7998046875
1604179940.6375208,602633,-7953.39990234375
1604179943.211421,603798,-10323.5
1604179944.6632168,604534,-5733.2001953125
1604179946.699778,605349,-4791.5
1604179948.422631,606109,-3570.89990234375
1604179950.748289,607156,-6651.0
1604179952.7900438,608118,-5801.2001953125
1604179955.940183,609495,-11812.900390625
1604179958.23397,610474,-6421.39990234375
1604179959.967133,611306,-5291.7998046875
1604179963.1296651,612720,-11682.400390625
1604179965.421383,613638,-5991.60009765625
1604179968.021133,614877,-8310.7998046875
1604179970.317975,615869,-6131.10009765625
1604179972.911524,617011,-9432.7998046875
1604179974.67169,617836,-5392.0
1604179977.328774,618901,-8422.7001953125
1604179980.2771142,620233,-9410.900390625
1604179982.342272,621084,-6492.7998046875
1604179984.695762,622124,-8402.900390625
1604179987.3356779,623286,-8892.2001953125
1604179989.077742,624120,-4230.7998046875
1604179991.064127,624935,-6112.7001953125
1604179994.383581,626454,-12832.400390625
1604179998.578561,628378,-15411.099609375
1604180000.587018,629259,-5531.5
1604180003.9905138,630823,-13562.7998046875
1604180006.27601,631922,-7921.7998046875
1604180008.301434,632793,-4831.10009765625
1604180010.039531,633598,-4891.7001953125
1604180011.78251,634332,-3361.0
1604180013.94808,635169,-5592.0
1604180016.2365131,636202,-8353.0
1604180018.312962,637140,-6782.2001953125
1604180021.501366,638574,-11542.0
1604180022.9913962,639226,-2991.300048828125
1604180024.761216,639932,-3160.89990234375
1604180028.173915,641471,-14073.400390625
1604180033.048447,643625,-19542.80078125
1604180037.294333,645505,-15511.5
1604180040.9915168,647183,-13591.7998046875
1604180042.7442272,648049,-4690.89990234375
1604180044.817934,648941,-5861.7998046875
1604180047.197765,649879,-7232.7998046875
1604180049.27712,650826,-5240.7001953125
1604180051.594562,651824,-6961.89990234375
1604180053.3006861,652631,-3810.699951171875
1604180054.731958,653242,-2491.300048828125
1604180056.152144,653838,-1770.699951171875
1604180057.5666728,654492,-2911.300048828125
1604180059.279213,655242,-4051.5
1604180060.734018,655888,-4402.7998046875
1604180062.478155,656719,-4881.39990234375
1604180063.934335,657373,-2691.0
1604180067.862688,659145,-16453.5
1604180071.3102589,660696,-11951.2998046875
1604180073.045803,661428,-3661.300048828125
1604180076.775701,663155,-14241.900390625
1604180079.0848079,664165,-7302.10009765625
1604180081.098613,665065,-6312.2001953125
1604180082.548168,665675,-2891.60009765625
1604180083.9980679,666246,-1510.699951171875
1604180086.0220642,667172,-7473.10009765625
1604180087.4672372,667884,-3901.5
1604180090.069046,669003,-9253.0
1604180091.531649,669600,-1910.9000244140625
1604180092.703177,670179,-2211.199951171875
1604180095.291855,671281,-7451.39990234375
