wall_time,step,value,match,infeasible_match,mismatch,notinstock,total_removed
1600618559.697619,10207,-83057.5,2425,75,5168,2411,1
1600618581.036412,18922,-66764.796875,2452,48,4428,1787,6
1600618598.659636,25923,-52848.0,2420,80,3172,1329,8
1600618615.0347362,32584,-47185.69921875,2443,57,2387,1774,12
1600618628.774394,38254,-34322.80078125,2472,28,2085,1085,7
1600618639.81669,42809,-21801.400390625,2486,14,1593,462,10
1600618649.5404851,46820,-16101.099609375,2489,11,1164,347,14
1600618659.222454,50466,-12751.2001953125,2488,12,894,252,34
1600618668.4784372,54068,-11440.099609375,2499,1,810,292,57
1600618679.0932531,58144,-17051.099609375,2490,10,590,986,44
1600618687.8669891,61530,-9370.400390625,2497,3,449,437,36
1600618697.3796322,65314,-13981.0,2490,10,436,848,39
1600618707.191127,69328,-18413.400390625,2466,34,395,1119,12
1600618715.065079,72483,-9592.7998046875,2472,28,250,405,49
1600618724.918545,76667,-19793.099609375,2469,31,429,1255,10
1600618735.293934,80848,-19743.099609375,2470,30,409,1272,8
1600618743.638751,84123,-8480.900390625,2491,9,342,433,8
1600618751.405331,87260,-7751.5,2485,15,235,402,13
1600618763.9666822,91938,-23782.0,2485,15,185,1993,25
1600618772.986581,95399,-11121.599609375,2484,16,236,725,16
1600618782.748424,99248,-16523.099609375,2471,29,220,1129,18
1600618789.166851,101931,-2170.199951171875,2498,2,84,99,39
1600618799.19473,106012,-16841.0,2494,6,107,1474,28
1600618809.455521,110115,-19063.0,2474,26,127,1476,28
1600618820.013421,114554,-22723.5,2469,31,95,1844,8
1600618829.4965918,118294,-14612.2001953125,2480,20,97,1143,26
1600618838.095041,121764,-10610.7001953125,2496,4,79,891,46
1600618845.355689,124788,-5770.0,2500,0,78,446,78
1600618856.2115982,129223,-21522.30078125,2478,22,160,1775,12
1600618866.799008,133420,-17920.900390625,2494,6,126,1571,30
1600618875.679557,137046,-13291.7998046875,2484,16,75,1051,48
1600618888.298476,142132,-27922.099609375,2488,12,42,2544,21
1600618899.086965,146537,-21612.5,2477,23,72,1833,31
1600618906.468959,149625,-6420.10009765625,2499,1,42,546,69
1600618914.9764931,152984,-9660.400390625,2496,4,40,819,92
1600618922.8056152,156260,-8450.2998046875,2497,3,54,722,64
1600618930.356747,159276,-5940.2001953125,2498,2,55,461,83
1600618938.2143822,162559,-9331.0,2492,8,95,688,75
1600618945.939761,165639,-7100.7998046875,2492,8,100,480,75
1600618955.9979892,169782,-17701.099609375,2491,9,89,1554,42
1600618965.036884,173534,-16133.2998046875,2467,33,61,1191,56
1600618973.304385,176940,-13945.0,2450,50,87,819,13
1600618980.9183092,180006,-7442.0,2480,20,72,494,3
1600618988.19781,182920,-4030.0,2500,0,87,327,14
1600618995.3195531,185877,-4870.5,2495,5,81,376,5
1600619003.022634,189092,-7610.39990234375,2496,4,122,593,31
1600619009.592096,191817,-2970.5,2495,5,82,143,47
1600619016.711154,194729,-4130.10009765625,2499,1,48,364,16
1600619024.089727,197861,-8912.5,2475,25,64,568,34
1600619030.517719,200495,-1140.0,2500,0,39,95,5
1600619037.047864,203169,-2090.300048828125,2497,3,46,128,30
1600619043.298361,205769,-1420.199951171875,2498,2,26,74,47
1600619053.274837,209885,-16910.5,2500,0,32,1584,50
1600619061.8264692,213319,-9800.2001953125,2500,0,27,907,51
1600619068.133368,215859,-850.0,2500,0,27,13,70
1600619074.787172,218506,-1690.0,2500,0,26,121,47
1600619081.935456,221358,-3820.0,2500,0,23,329,55
1600619091.1898391,225092,-13090.599609375,2496,4,77,1157,40
1600619098.396993,228006,-4680.0,2500,0,40,374,79
1600619104.676296,230594,-1040.0,2500,0,22,66,41
1600619110.9818408,233175,-760.0,2500,0,22,59,20
1600619117.361542,235699,-209.99998474121094,2500,0,24,0,22
1600619123.963202,238344,-1330.0,2500,0,15,130,13
1600619130.776607,241264,-4060.0,2500,0,16,404,11
1600619137.606007,243975,-2120.0,2500,0,12,199,26
1600619144.263548,246749,-3090.300048828125,2498,2,22,252,30
1600619150.651217,249411,-1580.0,2500,0,18,144,21
