wall_time,step,value,match,infeasible_match,mismatch,notinstock,total_removed
1602339788.336685,246577,-16270.900390625,2496,4,12,1550,0
1602339797.419395,249901,-9401.400390625,2487,13,12,812,1
1602339805.492061,252925,-6191.2001953125,2490,10,12,512,0
1602339812.8630111,255508,-580.0,2500,0,7,76,0
1602339821.9002628,258897,-8770.099609375,2500,0,10,879,3
1602339834.1786308,263451,-20730.400390625,2500,0,7,2047,4
1602339842.2773068,266496,-5700.5,2497,3,8,537,0
1602339850.737602,269848,-8390.0,2500,0,7,845,12
1602339861.3921988,274044,-18211.19921875,2490,10,8,1688,30
1602339870.92066,277727,-12100.400390625,2497,3,14,1169,12
1602339882.717419,282224,-22472.69921875,2475,25,10,1987,5
1602339892.324047,285769,-12722.400390625,2478,22,13,1032,12
1602339900.4860039,288824,-6070.7001953125,2493,7,15,540,7
1602339907.4977322,291531,-2220.39990234375,2496,4,5,202,0
1602339914.518744,294227,-1810.0999755859375,2499,1,7,189,0
1602339923.376568,297598,-8760.2998046875,2500,0,7,864,0
1602339931.804304,300763,-9002.599609375,2475,25,8,657,0
1602339938.9423769,303437,-1790.300048828125,2497,3,5,169,0
1602339947.011817,306516,-6440.89990234375,2491,9,5,574,0
1602339955.069845,309517,-4820.0,2500,0,8,493,6
1602339962.244118,312199,-1570.0,2500,0,3,179,0
1602339970.610118,315467,-8260.7998046875,2492,8,7,761,3
1602339978.131371,318341,-3540.0,2500,0,8,366,5
1602339986.117277,321299,-5130.7998046875,2492,8,11,447,0
1602339993.4787142,324096,-3520.800048828125,2492,8,7,290,0
1602339999.727576,326654,-1130.800048828125,2492,8,8,50,0
1602340009.2622778,330262,-10830.0,2500,0,7,1101,0
1602340016.911381,333268,-4810.0,2500,0,3,503,0
1602340024.5916538,336199,-4160.10009765625,2499,1,10,421,0
1602340032.210588,338978,-3140.5,2495,5,3,276,10
1602340040.659405,342173,-7340.60009765625,2494,6,6,689,4
1602340047.4938939,344783,-950.0999755859375,2499,1,10,100,0
1602340054.630095,347514,-2400.300048828125,2497,3,6,225,4
1602340062.3669162,350412,-4150.39990234375,2496,4,7,391,2
1602340069.349671,353062,-2461.199951171875,2488,12,7,143,1
1602340076.106713,355647,-1861.199951171875,2488,12,6,79,6
1602340085.3059242,359254,-11160.2001953125,2500,0,3,1104,14
1602340093.098801,362192,-4500.2998046875,2497,3,9,429,7
1602340100.52382,365006,-3310.39990234375,2496,4,4,310,2
1602340107.6552708,367737,-2960.89990234375,2491,9,10,221,0
1602340114.767284,370340,-1290.4000244140625,2496,4,7,96,11
1602340121.811681,373026,-1900.199951171875,2498,2,13,173,9
1602340130.1138308,376090,-6350.7998046875,2493,7,9,555,16
1602340137.67594,378921,-3460.300048828125,2497,3,16,315,10
1602340144.325844,381555,-1330.199951171875,2498,2,6,128,4
1602340151.4151812,384138,-1360.699951171875,2493,7,4,79,8
1602340158.030606,386782,-1210.0,2500,0,5,139,2
1602340165.339263,389515,-2180.10009765625,2499,1,8,225,0
1602340173.5809238,392612,-6530.7998046875,2492,8,7,590,1
1602340180.70859,395281,-1440.0,2500,0,3,166,0
1602340187.639811,398055,-2770.0,2500,0,9,265,28
1602340194.6608388,400664,-1470.5999755859375,2494,6,6,103,3
1602340201.496823,403303,-1640.5,2495,5,10,129,0
1602340209.614502,406356,-6250.89990234375,2491,9,7,546,7
1602340217.6019359,409421,-6160.7001953125,2494,6,6,559,6
1602340224.875712,412111,-1950.300048828125,2497,3,6,184,0
1602340234.357389,415681,-10460.0,2500,0,7,1063,1
1602340241.838906,418446,-2800.39990234375,2496,4,7,258,0
1602340249.324213,421330,-4390.7998046875,2492,8,5,379,0
1602340256.492568,423953,-2421.39990234375,2486,14,5,118,4
1602340263.126764,426497,-900.5999755859375,2494,6,6,38,11
1602340271.016596,429473,-4780.0,2500,0,6,470,27
1602340278.041929,432176,-1870.0,2500,0,4,199,9
1602340286.3728268,435364,-7350.7001953125,2493,7,3,685,2
1602340293.328806,437946,-1070.5,2495,5,2,80,0
1602340301.496738,441078,-7161.0,2490,10,9,623,9
1602340309.538877,444064,-4940.2998046875,2497,3,3,483,3
1602340316.950185,446958,-5772.0,2480,20,3,391,8
1602340324.42512,449767,-5352.5,2475,25,5,304,1
1602340332.175311,452723,-4600.2001953125,2498,2,7,449,9
1602340339.5803862,455501,-3921.300048828125,2487,13,4,274,9
1602340347.603106,458482,-5140.5,2495,5,0,481,8
1602340356.796489,461886,-9550.599609375,2495,5,1,903,16
1602340364.938699,464950,-6000.5,2495,5,3,561,11
1602340373.546148,468212,-9291.599609375,2486,14,12,750,32
1602340381.105881,471017,-6143.10009765625,2469,31,5,300,24
1602340389.197094,474087,-5700.10009765625,2499,1,2,568,15
1602340396.6120682,476889,-4051.199951171875,2488,12,6,296,8
1602340403.8276658,479642,-2480.10009765625,2499,1,5,248,10
1602340411.7027462,482435,-3520.800048828125,2492,8,4,289,4
1602340421.3004858,486053,-11530.599609375,2494,6,9,1109,0
1602340431.338816,489389,-8800.599609375,2494,6,2,834,9
1602340441.860745,492536,-7361.10009765625,2489,11,2,645,4
1602340451.023927,495723,-7801.0,2490,10,3,684,18
1602340461.067775,499060,-9871.7001953125,2484,16,3,834,5
1602340469.7834911,501855,-3180.39990234375,2497,3,3,292,8
1602340480.0525599,505127,-8481.0,2490,10,4,768,1
1602340488.376724,507804,-1520.0,2500,0,1,176,0
1602340496.819479,510643,-3440.300048828125,2497,3,5,334,0
1602340504.456547,513403,-2350.0,2500,0,6,254,0
1602340512.544406,516153,-2250.0,2500,0,12,238,0
1602340519.8529952,518768,-1100.199951171875,2498,2,8,107,0
1602340528.260042,521632,-4691.2998046875,2487,13,4,360,0
1602340536.256564,524514,-3570.0,2500,0,2,380,0
1602340545.307621,527492,-4540.0,2500,0,8,470,1
1602340553.370728,530306,-2980.0,2500,0,5,309,9
1602340562.149699,533436,-6250.10009765625,2499,1,9,621,10
1602340572.141721,537053,-11570.599609375,2497,3,5,1112,5
1602340579.2258291,539570,-470.5,2495,5,7,10,5
1602340587.991262,542684,-5910.0,2500,0,10,604,2
1602340595.9145799,545308,-2001.0,2490,10,12,112,1
1602340604.0480042,547990,-1570.0,2500,0,4,178,0
1602340611.44052,550498,170.0,2500,0,7,1,0
1602340619.721484,553286,-2930.300048828125,2497,3,8,280,0
1602340627.84026,556043,-2820.5,2495,5,11,246,0
1602340635.441236,558655,-870.0,2500,0,7,105,0
1602340644.185533,561548,-3880.199951171875,2498,2,14,379,0
1602340651.6131258,564207,-2140.800048828125,2492,8,9,150,0
1602340659.859936,566972,-2400.0,2500,0,24,241,0
1602340667.7983449,569639,-1490.0,2500,0,16,151,7
1602340675.5046558,572355,-1930.0,2500,0,5,211,2
1602340684.679316,575585,-7150.10009765625,2500,0,0,730,0
1602340692.017282,578136,-260.0,2500,0,5,46,0
1602340699.632942,580852,-1920.0,2500,0,17,199,1
1602340708.0836911,583754,-3770.0,2500,0,30,372,0
1602340716.163231,586422,-1430.0,2500,0,32,136,0
1602340725.596837,589639,-6920.0,2500,0,18,699,0
1602340733.817431,592260,-960.0,2500,0,12,109,0
1602340741.690921,595062,-2770.0,2500,0,8,294,0
1602340750.6703491,598087,-5000.0,2500,0,9,516,0
1602340760.395083,601358,-7460.0,2500,0,8,763,0
1602340769.4884238,604623,-7400.0,2500,0,9,756,0
1602340778.499846,607659,-5110.0,2500,0,14,522,0
1602340786.529789,610353,-1750.0,2500,0,21,173,6
1602340794.786397,613173,-3080.10009765625,2499,1,28,292,3
1602340803.5904472,616245,-5470.0,2500,0,25,547,0
1602340811.428027,618963,-1930.0,2500,0,9,209,0
1602340821.2775948,622219,-7310.0,2500,0,5,751,0
1602340828.568637,624887,-1430.0,2500,0,7,161,0
1602340837.955044,628161,-7490.0,2500,0,9,765,0
1602340845.520056,630720,-340.0,2500,0,11,48,0
1602340853.874115,633540,-2960.0,2500,0,9,311,1
1602340862.996765,636616,-5510.0,2500,0,10,566,0
1602340873.2255292,640030,-8990.099609375,2500,0,3,911,0
1602340880.9918919,642706,-1510.0,2500,0,8,168,0
1602340888.57197,645452,-2810.60009765625,2494,6,6,240,0
1602340896.766165,648311,-3840.5,2495,5,15,344,0
1602340904.334357,650878,-420.0,2500,0,4,63,0
1602340913.352847,653844,-4520.10009765625,2499,1,14,452,1
1602340920.990664,656619,-2500.0,2500,0,4,271,0
1602340929.066169,659142,20.000003814697266,2500,0,1,22,0
1602340937.535744,661820,-1530.0,2500,0,3,175,0
1602340948.010182,665133,-7980.10009765625,2500,0,12,801,0
1602340956.570177,667956,-2980.0,2500,0,5,318,0
1602340964.779496,670763,-2820.0,2500,0,5,302,0
1602340972.298665,673385,-1070.0999755859375,2499,1,8,114,0
1602340980.310573,676027,-1770.5999755859375,2494,6,4,138,0
1602340988.506145,678879,-3270.0,2500,0,3,349,0
1602340996.211393,681577,-2130.39990234375,2496,4,7,191,0
1602341003.593257,684143,-810.4000244140625,2496,4,2,64,0
1602341010.9894102,686706,-380.0,2500,0,4,59,0
1602341018.5931761,689212,190.0,2500,0,4,2,0
1602341026.4269361,691738,-9.999996185302734,2500,0,3,23,0
1602341033.9322538,694307,-440.0,2500,0,3,66,0
1602341042.499595,697276,-4440.0,2500,0,2,467,0
1602341049.80913,699889,-880.0,2500,0,1,112,0
1602341057.12764,702420,-59.999996185302734,2500,0,3,28,0
1602341064.398481,705023,-790.0,2500,0,5,98,1
1602341072.4233909,707760,-2130.0,2500,0,10,227,1
1602341080.263942,710508,-2310.0,2500,0,16,232,8
1602341088.550453,713285,-2590.0,2500,0,2,275,7
1602341096.820605,716105,-3030.0,2500,0,7,313,8
1602341104.941385,718972,-3510.0,2500,0,12,355,9
1602341113.220514,721677,-1860.0,2500,0,3,202,6
1602341121.074081,724372,-1720.0,2500,0,3,192,2
1602341129.6976771,727325,-4320.0,2500,0,5,448,4
1602341138.238573,730251,-4070.0,2500,0,6,420,6
1602341146.584106,733158,-4750.89990234375,2491,9,9,398,3
1602341154.602245,735897,-2640.5,2495,5,18,221,0
1602341161.541099,738423,-9.999996185302734,2500,0,9,17,0
1602341168.90752,740981,-340.0,2500,0,7,51,1
1602341176.250918,743523,-170.0,2500,0,8,34,0
1602341183.5865011,746111,-630.0,2500,0,5,83,0
1602341192.170581,748972,-3360.0,2500,0,3,358,0
1602341200.524539,751804,-3070.0,2500,0,4,328,0
1602341208.469672,754514,-3251.39990234375,2486,14,4,206,0
1602341216.143737,757103,-940.2999877929688,2497,3,5,84,0
1602341223.830946,759626,20.000003814697266,2500,0,2,21,0
1602341231.83357,762339,-2080.199951171875,2498,2,4,209,0
1602341240.009088,764930,-1060.4000244140625,2496,4,6,85,0
1602341247.7056088,767533,-1180.4000244140625,2496,4,1,102,0
1602341255.781856,770284,-3271.0,2490,10,2,249,1
1602341263.743669,772923,-1140.0,2500,0,13,126,0
1602341271.503222,775595,-1670.199951171875,2498,2,11,161,0
1602341278.669398,778175,-650.0999755859375,2499,1,8,72,0
1602341286.013202,780681,190.0,2500,0,0,6,0
1602341293.441195,783261,-550.0,2500,0,2,78,0
1602341302.457257,786355,-5690.0,2500,0,10,584,0
1602341310.436748,789082,-2020.0,2500,0,4,223,0
1602341317.993005,791642,-350.0,2500,0,3,57,0
1602341328.345022,795017,-8500.0,2500,0,12,863,0
1602341335.7554948,797541,10.000003814697266,2500,0,3,21,0
1602341343.854959,800195,-1390.0999755859375,2499,1,5,149,0
1602341351.4769778,802808,-880.0,2500,0,4,109,0
1602341358.88802,805358,-250.0,2500,0,7,43,0
1602341366.255446,807885,-19.999996185302734,2500,0,4,23,0
1602341373.5769758,810414,-39.999996185302734,2500,0,3,26,0
1602341380.630167,812922,170.0,2500,0,1,7,0
1602341389.412352,815767,-3200.0,2500,0,0,345,0
1602341397.361633,818531,-2390.0,2500,0,1,263,0
1602341405.049533,821144,-880.0,2500,0,2,111,0
1602341412.0725682,823662,70.0,2500,0,3,15,0
