wall_time,step,value,match,infeasible_match,mismatch,notinstock,total_removed
1600588049.555237,10945,-86823.8984375,2461,39,5638,2679,0
1600588070.056812,19005,-61686.1015625,2439,61,3729,1831,23
1600588085.995636,25238,-41173.69921875,2463,37,2570,1163,39
1600588098.8334148,30450,-32084.0,2460,40,1764,948,121
1600588113.0142279,36293,-40025.8984375,2442,58,1725,1618,94
1600588125.6528199,41581,-32354.0,2461,39,1650,1138,72
1600588138.345865,46628,-31255.400390625,2448,52,1498,1049,63
1600588149.969573,50726,-18351.69921875,2484,16,958,640,92
1600588159.784502,54793,-17981.599609375,2486,14,804,763,96
1600588168.075028,58288,-11960.900390625,2492,8,718,277,136
1600588177.949548,62364,-20413.5,2470,30,585,991,140
1600588185.578342,65458,-8020.5,2495,5,416,178,183
1600588194.0470679,68917,-12451.400390625,2489,11,340,619,171
1600588205.931184,73226,-23953.900390625,2468,32,411,1398,221
1600588213.491061,76250,-8520.5,2495,5,325,199,303
1600588221.7220201,79490,-11851.099609375,2489,11,309,431,360
1600588229.74854,82777,-11670.7001953125,2494,6,262,525,335
1600588240.126814,86971,-20882.099609375,2485,15,367,1327,209
1600588247.5965388,90025,-8031.0,2490,10,266,288,174
1600588262.406878,95927,-37753.1015625,2490,10,354,3048,88
1600588270.2692502,99143,-8270.2998046875,2499,1,273,443,106
1600588277.257828,102139,-8360.099609375,2500,0,146,350,355
1600588283.8144488,104755,-3910.0,2500,0,75,41,300
1600588294.8390772,109058,-21111.400390625,2495,5,148,1655,193
1600588301.567602,111916,-6870.10009765625,2500,0,73,285,344
1600588308.024054,114609,-4430.10009765625,2500,0,65,128,265
1600588314.8838358,117419,-6390.7001953125,2493,7,65,245,284
1600588322.215966,120395,-7070.2998046875,2499,1,97,379,226
1600588330.08883,123543,-9940.2998046875,2499,1,70,578,341
1600588337.155825,126402,-6070.5,2497,3,65,294,223
1600588343.711905,129017,-3470.199951171875,2498,2,44,71,237
1600588351.221994,131968,-5660.10009765625,2499,1,83,368,130
1600588357.7580018,134728,-3330.39990234375,2496,4,70,190,58
1600588364.0629818,137303,-1390.0,2500,0,31,44,89
1600588370.928895,140121,-4690.2998046875,2498,2,40,278,146
1600588379.215866,142935,-5450.39990234375,2498,2,28,286,216
1600588385.7087,145647,-3310.5,2495,5,33,179,94
1600588393.788408,148631,-6410.5,2499,1,29,455,132
1600588401.7262259,151753,-7880.39990234375,2500,0,23,599,151
1600588414.590011,156686,-28362.19921875,2496,4,42,2391,208
1600588420.842505,159202,-1910.0,2500,0,16,0,200
1600588427.194635,161712,-1510.0,2500,0,10,0,166
1600588433.561846,164224,-1340.0,2500,0,12,0,147
1600588439.718364,166761,-1620.0,2500,0,28,9,150
1600588446.547661,169392,-3100.0,2500,0,14,117,204
1600588453.089503,172072,-3040.0,2500,0,27,153,149
1600588460.8156958,174618,-1810.0,2500,0,26,20,160
1600588468.1683168,177488,-6310.5,2496,4,49,321,236
1600588474.7646139,180184,-3050.10009765625,2499,1,28,168,124
1600588481.156685,182830,-2830.0,2500,0,27,119,162
1600588487.365134,185370,-2190.300048828125,2497,3,29,11,174
1600588493.432874,187952,-1890.199951171875,2498,2,30,52,112
1600588499.5154922,190510,-1790.0,2500,0,30,28,146
1600588505.985185,193188,-2470.0,2500,0,45,133,94
1600588512.253036,195732,-870.0,2500,0,38,6,68
1600588518.525713,198327,-1540.0,2500,0,40,55,84
1600588524.520546,200859,-1430.0,2500,0,25,7,136
1600588530.6449668,203379,-1080.0,2500,0,20,0,113
1600588537.676299,206189,-3720.0,2500,0,44,266,87
1600588544.9956532,209098,-4530.10009765625,2500,0,31,378,59
1600588551.297374,211678,-1920.0,2500,0,21,59,137
1600588557.7559192,214184,-2310.0,2500,0,6,0,250
1600588564.2356741,216691,-3950.0,2500,0,6,1,413
1600588582.8193421,222745,-40582.0,2500,0,13,3541,329
1600588590.2716649,225779,-7800.2998046875,2500,0,25,509,241
1600588596.6984398,228289,-1930.0,2500,0,10,0,208
1600588603.023792,230857,-3310.0,2500,0,11,57,288
1600588609.3589299,233449,-3230.0,2500,0,6,86,256
1600588615.767401,235963,-2130.0,2500,0,14,0,224
1600588622.273193,238520,-2600.0,2500,0,9,48,228
1600588628.961986,241272,-3130.0,2500,0,59,193,86
1600588635.7666738,244066,-4601.2001953125,2488,12,25,269,71
1600588642.78288,246820,-3020.300048828125,2497,3,27,227,43
